2618666497924830148_2019/3/18 10:26:18_86%_103,2,1,0,0
2619580092291620434_2019/3/18 20:50:11_65%_41,2,1,0,0
2619735130102839946_2019/3/17 21:39:25_3%_9,2,1,0,0
2619735130137331395_2019/3/17 18:24:12_69%_84,2,1,0,0
2620048470957974396_2019/3/17 13:2:7_52%_34,2,1,0,0
2620048470958197186_2019/3/18 8:56:5_71%_57,2,1,0,0
2620048470959122318_2019/3/17 0:33:59_43%_38,2,1,0,0
2620048470959122378_2019/3/17 0:35:33_85%_28,2,1,0,0
2620048470959167409_2019/3/17 8:20:52_56%_47,2,1,0,0
2620048470959171220_2019/3/17 8:46:3_82%_47,2,1,0,0
2620048470959175953_2019/3/17 9:12:24_31%_19,2,1,0,0
2620048470959195619_2019/3/17 11:29:27_66%_12,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_74%_48,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_83%_50,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_84%_51,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_85%_52,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_86%_53,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_87%_55,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_90%_56,2,1,0,0
2620048470959198681_2019/3/17 12:14:56_91%_57,2,1,0,0
2620048470959210509_2019/3/17 13:39:59_57%_37,2,1,0,0
2620048470959224815_2019/3/17 15:52:48_69%_74,2,1,0,0
2620048470959242960_2019/3/17 18:45:26_73%_27,2,1,0,0
2620048470959244001_2019/3/17 18:51:28_85%_14,2,1,0,0
2620048470959246991_2019/3/17 19:23:14_100%_29,2,1,0,0
2620048470959267988_2019/3/17 21:36:51_100%_109,2,1,0,0
2620048470959267988_2019/3/17 21:36:51_99%_99,2,1,0,0
2620048470959294680_2019/3/17 23:50:5_96%_56,2,1,0,0
2620048470959413375_2019/3/18 7:39:59_44%_21,2,1,0,0
2620048470959460656_2019/3/18 13:25:36_19%_12,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_41%_19,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_49%_22,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_72%_24,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_76%_25,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_88%_28,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_89%_31,2,1,0,0
2620048470959484089_2019/3/18 17:5:56_97%_37,2,1,0,0
2618666497924664347_2019/3/18 16:13:22_10%_3,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_100%_66,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_13%_7,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_19%_10,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_20%_10,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_28%_12,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_50%_16,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_63%_17,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_68%_20,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_70%_18,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_72%_26,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_73%_27,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_79%_31,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_82%_47,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_83%_53,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_85%_34,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_91%_43,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_95%_58,1,1,0,0
2618666497924664347_2019/3/18 16:13:22_97%_61,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_13%_12,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_19%_15,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_24%_15,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_4%_3,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_41%_17,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_45%_17,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_48%_18,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_49%_19,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_51%_21,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_52%_22,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_54%_21,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_62%_26,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_63%_27,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_74%_28,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_77%_28,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_79%_29,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_84%_30,1,1,0,0
2618666497924812854_2019/3/17 11:16:20_9%_4,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_10%_35,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_100%_117,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_12%_37,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_17%_41,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_2%_33,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_21%_42,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_24%_46,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_26%_47,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_37%_53,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_40%_54,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_41%_55,1,1,0,0
2618666497924830148_2019/3/18 10:26:18_43%_61,1,1,0,0
