# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2619580092287505639_2019/7/17 21:33:21_52%_27,1,1,0,0.00
2619580092287505639_2019/7/17 21:33:21_9%_6,1,1,0,0.00
2619580092291154956_2019/7/17 23:34:41_21%_13,1,1,0,0.00
2619580092291154956_2019/7/17 23:34:41_66%_18,1,1,0,0.00
2619580092291154956_2019/7/17 23:34:41_82%_19,1,1,0,0.00
2619580092291154956_2019/7/17 23:34:41_9%_10,1,1,0,0.00
2619580092291154956_2019/7/18 19:35:37_18%_5,1,1,0,0.00
2619580092291154956_2019/7/18 19:35:37_25%_6,1,1,0,0.00
2619580092291154956_2019/7/18 19:35:37_6%_4,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_100%_26,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_21%_9,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_28%_10,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_34%_11,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_39%_11,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_40%_14,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_42%_14,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_48%_15,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_5%_7,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_51%_16,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_59%_19,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_64%_19,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_68%_20,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_70%_21,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_75%_22,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_80%_23,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_85%_24,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_9%_8,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_92%_25,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:41_96%_26,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_101%_21,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_12%_6,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_15%_7,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_20%_7,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_24%_8,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_30%_9,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_37%_9,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_43%_10,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_46%_10,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_49%_11,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_55%_13,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_59%_13,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_6%_5,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_66%_14,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_69%_14,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_78%_16,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_79%_17,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_90%_18,1,1,0,0.00
2619735130080083370_2019/7/17 20:17:5_97%_19,1,1,0,0.00
2619735130091284635_2019/7/17 20:4:43_1%_4,1,1,0,0.00
2619735130091284635_2019/7/17 20:4:43_16%_6,1,1,0,0.00
2619735130091284635_2019/7/17 20:4:43_21%_8,1,1,0,0.00
2619735130091284635_2019/7/17 20:4:43_28%_10,1,1,0,0.00
2619735130091284635_2019/7/17 20:4:43_32%_12,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_100%_27,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_13%_9,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_29%_10,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_30%_10,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_34%_13,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_35%_13,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_40%_15,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_45%_16,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_50%_17,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_55%_19,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_61%_20,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_7%_6,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_77%_21,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_83%_22,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_89%_24,1,1,0,0.00
2619735130093089960_2019/7/17 21:31:28_95%_25,1,1,0,0.00
2619735130099413949_2019/7/17 21:20:37_15%_16,1,1,0,0.00
2619735130099413949_2019/7/17 21:20:37_7%_3,1,1,0,0.00
2619735130099413949_2019/7/17 21:20:37_8%_14,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_100%_65,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_11%_9,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_15%_9,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_18%_11,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_21%_12,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_23%_12,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_25%_14,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_28%_14,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_3%_7,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_30%_15,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_32%_16,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_35%_17,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_37%_18,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_39%_23,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_41%_26,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_42%_28,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_45%_29,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_46%_32,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_49%_34,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_53%_35,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_67%_36,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_73%_38,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_76%_48,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_77%_49,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_78%_51,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_79%_52,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_8%_7,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_80%_55,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_81%_55,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_82%_56,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_84%_56,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_85%_57,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_86%_58,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_87%_60,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_9%_8,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_92%_61,1,1,0,0.00
2619735130104172806_2019/7/17 20:21:18_93%_64,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_10%_12,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_100%_191,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_101%_197,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_18%_18,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_2%_6,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_20%_19,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_22%_20,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_24%_21,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_26%_22,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_29%_27,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_32%_28,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_34%_39,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_36%_41,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_39%_47,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_41%_52,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_43%_58,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_45%_70,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_49%_83,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_5%_10,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_51%_84,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_54%_85,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_56%_86,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_58%_87,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_63%_88,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_64%_89,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_68%_150,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_7%_10,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_70%_152,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_71%_153,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_72%_155,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_75%_156,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_77%_157,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_84%_159,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_85%_172,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_88%_181,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_92%_183,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_94%_187,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_97%_189,1,1,0,0.00
2619735130117632371_2019/7/17 20:16:2_99%_190,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_1%_6,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_11%_15,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_14%_16,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_15%_16,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_17%_17,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_20%_19,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_21%_19,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_24%_20,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_25%_21,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_28%_31,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_3%_8,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_33%_32,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_35%_32,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_39%_33,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_4%_9,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_40%_34,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_44%_35,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_45%_36,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_5%_11,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_51%_40,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_57%_41,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_6%_13,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_64%_42,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_8%_14,1,1,0,0.00
2619735130141335396_2019/7/17 20:23:3_84%_44,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_13%_6,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_17%_7,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_2%_3,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_22%_7,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_5%_5,1,1,0,0.00
2620048470948166929_2019/7/17 20:2:36_9%_6,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_11%_7,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_19%_9,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_2%_4,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_24%_18,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_29%_24,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_33%_27,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_34%_38,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_45%_57,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_5%_5,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_53%_65,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_6%_6,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_79%_73,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_8%_7,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_81%_79,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_90%_86,1,1,0,0.00
2620048470952063801_2019/7/17 21:27:49_92%_88,1,1,0,0.00
2620048470952800621_2019/7/17 20:22:51_1%_110,1,1,0,0.00
2620048470952800621_2019/7/17 20:22:51_13%_121,1,1,0,0.00
2620048470952800621_2019/7/17 20:22:51_24%_123,1,1,0,0.00
2620048470952800621_2019/7/17 20:22:51_6%_113,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_12%_14,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_15%_16,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_16%_16,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_2%_6,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_24%_20,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_29%_27,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_31%_35,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_32%_47,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_34%_52,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_36%_62,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_37%_67,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_40%_71,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_43%_73,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_45%_76,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_47%_79,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_49%_84,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_5%_9,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_57%_87,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_60%_89,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_73%_90,1,1,0,0.00
2620048470953439751_2019/7/17 21:49:44_9%_11,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_100%_281,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_14%_94,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_17%_106,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_18%_109,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_19%_112,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_2%_66,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_22%_114,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_23%_121,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_24%_122,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_27%_131,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_28%_133,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_29%_140,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_3%_70,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_30%_144,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_31%_158,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_33%_161,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_34%_164,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_36%_165,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_37%_172,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_39%_176,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_4%_81,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_40%_180,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_41%_182,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_43%_183,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_44%_186,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_45%_190,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_47%_193,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_51%_193,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_54%_196,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_57%_200,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_60%_201,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_61%_203,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_62%_206,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_63%_210,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_65%_213,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_66%_214,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_67%_217,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_69%_220,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_70%_225,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_72%_247,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_79%_257,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_8%_83,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_82%_260,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_93%_271,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_94%_275,1,1,0,0.00
2620048470955381379_2019/7/17 22:15:42_99%_279,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_11%_9,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_13%_9,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_14%_10,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_18%_12,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_22%_13,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_28%_17,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_29%_21,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_32%_22,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_35%_25,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_38%_27,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_39%_28,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_4%_5,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_41%_30,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_43%_31,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_45%_32,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_46%_35,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_53%_37,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_55%_39,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_6%_7,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_60%_40,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_63%_42,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_65%_44,1,1,0,0.00
2620048470955515177_2019/7/17 21:14:22_NaN%_66,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:40_8%_5,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_11%_3,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_20%_4,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_29%_4,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_40%_6,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_44%_8,1,1,0,0.00
2620048470958170618_2019/7/17 21:17:50_54%_9,1,1,0,0.00
2620048470961154852_2019/7/17 20:11:20_15%_6,1,1,0,0.00
2620048470961154852_2019/7/17 20:11:20_16%_7,1,1,0,0.00
