# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924652102_2019/7/19 7:21:6_11%_14,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_16%_20,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_21%_21,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_26%_23,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_3%_11,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_31%_25,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_36%_31,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_42%_33,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_65%_39,1,1,0,0.00
2618666497924652102_2019/7/19 7:21:6_8%_12,1,1,0,0.00
2618666497924709174_2019/7/18 20:0:23_NaN%_9,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_100%_56,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_12%_12,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_18%_16,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_19%_18,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_2%_4,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_20%_20,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_21%_23,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_30%_25,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_32%_28,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_37%_31,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_45%_32,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_52%_34,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_61%_35,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_69%_37,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_7%_6,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_75%_38,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_76%_40,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_83%_44,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_86%_47,1,1,0,0.00
2618666497924973654_2019/7/18 22:5:29_87%_49,1,1,0,0.00
2618666497924973654_2019/7/19 17:15:28_-121%_22,1,1,0,0.00
2618666497924973654_2019/7/19 17:15:28_12%_5,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_10%_15,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_19%_20,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_26%_26,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_28%_30,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_32%_33,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_37%_36,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_38%_37,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_47%_46,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_5%_13,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_55%_48,1,1,0,0.00
2619182023910082744_2019/7/18 22:3:57_80%_54,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_-949%_175,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_100%_94,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_2%_15,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_3%_19,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_33%_27,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_35%_29,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_39%_32,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_40%_34,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_41%_35,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_48%_37,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_53%_40,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_64%_46,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_74%_54,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_84%_58,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_89%_67,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_90%_68,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_94%_90,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_96%_91,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_97%_92,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_NaN%_176,1,1,0,0.00
2619580092253020795_2019/7/19 1:24:7_100%_39,1,1,0,0.00
2619580092253020795_2019/7/19 1:24:7_36%_37,1,1,0,0.00
2619580092253020795_2019/7/19 1:24:7_38%_38,1,1,0,0.00
2619580092253020795_2019/7/19 1:24:7_92%_42,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_1%_7,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_10%_10,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_13%_11,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_18%_12,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_2%_8,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_24%_14,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_25%_18,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_29%_21,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_30%_21,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_35%_22,1,1,0,0.00
2619580092270447046_2019/7/18 20:10:53_9%_9,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_1%_8,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_10%_10,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_100%_23,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_16%_11,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_22%_12,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_23%_13,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_32%_14,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_37%_16,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_38%_17,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_44%_17,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_6%_9,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_76%_19,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_79%_20,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_80%_20,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_85%_21,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_86%_21,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_89%_22,1,1,0,0.00
2619580092277357618_2019/7/18 20:10:59_94%_22,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:31_1%_6,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_1%_7,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_12%_15,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_17%_17,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_18%_18,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_3%_8,1,1,0,0.00
2619735130104050751_2019/7/18 20:0:54_8%_14,1,1,0,0.00
2619735130113862303_2019/7/19 20:27:20_78%_8,1,1,0,0.00
2619735130134736441_2019/7/18 21:12:3_1%_5,1,1,0,0.00
2619735130134736441_2019/7/18 21:12:3_2%_6,1,1,0,0.00
2619735130134736441_2019/7/18 21:12:3_3%_7,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_100%_154,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_16%_28,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_18%_32,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_21%_35,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_24%_45,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_25%_47,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_26%_55,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_30%_59,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_32%_64,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_34%_67,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_35%_69,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_36%_70,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_39%_74,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_42%_77,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_45%_84,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_48%_90,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_53%_99,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_55%_104,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_6%_24,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_62%_108,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_67%_113,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_69%_114,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_74%_117,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_76%_120,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_77%_122,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_80%_123,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_84%_124,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_86%_126,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_94%_133,1,1,0,0.00
2620048470952824409_2019/7/18 20:0:42_99%_147,1,1,0,0.00
2620048470961610878_2019/7/20 6:26:12_41%_9,1,1,0,0.00
2620048470961610878_2019/7/20 6:26:12_60%_9,1,1,0,0.00
2620048470961610878_2019/7/20 6:26:12_66%_9,1,1,0,0.00
2620048470961610878_2019/7/20 6:26:12_78%_11,1,1,0,0.00
2620048470961610878_2019/7/20 6:26:12_82%_10,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_100%_142,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_12%_33,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_14%_37,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_19%_43,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_2%_15,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_21%_45,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_25%_53,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_28%_61,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_31%_63,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_33%_72,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_35%_78,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_4%_16,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_42%_83,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_44%_84,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_46%_86,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_50%_88,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_52%_90,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_53%_93,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_55%_93,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_56%_98,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_59%_101,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_6%_17,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_61%_102,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_64%_104,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_67%_105,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_69%_106,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_70%_107,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_71%_114,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_75%_116,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_76%_118,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_78%_119,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_79%_121,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_8%_20,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_80%_129,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_85%_131,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_89%_137,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_95%_139,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_98%_141,1,1,0,0.00
2620048470962673671_2019/7/18 20:0:43_99%_141,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_11%_13,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_13%_14,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_15%_15,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_20%_15,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_21%_16,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_24%_18,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_27%_18,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_29%_19,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_3%_9,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_32%_20,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_34%_23,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_36%_24,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_39%_27,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_43%_29,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_47%_30,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_51%_30,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_54%_31,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_6%_11,1,1,0,0.00
2620048470962744903_2019/7/18 21:37:58_8%_13,1,1,0,0.00
2620048470963726605_2019/7/18 22:6:31_100%_15,1,1,0,0.00
2620048470963726605_2019/7/18 22:6:31_37%_15,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_12%_12,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_13%_13,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_14%_14,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_19%_26,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_23%_29,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_5%_8,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_6%_9,1,1,0,0.00
2620048470970670010_2019/7/18 20:2:55_9%_12,1,1,0,0.00
2620048470979559367_2019/7/18 21:28:28_1%_5,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_11%_15,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_17%_16,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_20%_18,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_21%_19,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_33%_23,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_34%_31,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_37%_36,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_41%_40,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_44%_44,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_45%_44,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_48%_49,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_49%_49,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_53%_56,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_61%_58,1,1,0,0.00
3123767259529850131_2019/7/18 20:59:13_62%_58,1,1,0,0.00
3123767259531415537_2019/7/18 20:1:17_14%_12,1,1,0,0.00
3123767259531415537_2019/7/18 20:1:17_3%_11,1,1,0,0.00
3123928302830984658_2019/7/18 21:8:43_12%_98,1,1,0,0.00
3123928302830984658_2019/7/18 21:8:43_2%_10,1,1,0,0.00
3123928302830984658_2019/7/18 21:8:43_4%_11,1,1,0,0.00
3123928302830984658_2019/7/18 21:8:43_6%_12,1,1,0,0.00
3123928302830984658_2019/7/18 21:8:43_9%_14,1,1,0,0.00
3123928302830984658_2019/7/18 22:35:45_-29%_9,1,1,0,0.00
3123928302830984658_2019/7/18 22:35:45_104%_4,1,1,0,0.00
3123928302830984658_2019/7/18 22:35:45_110%_7,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_100%_51,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_11%_14,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_21%_18,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_25%_19,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_26%_20,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_29%_20,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_32%_22,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_35%_26,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_36%_27,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_38%_31,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_39%_31,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_4%_8,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_40%_35,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_42%_35,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_44%_38,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_49%_39,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_5%_10,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_54%_40,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_56%_41,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_57%_42,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_65%_43,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_86%_44,1,1,0,0.00
3123932794209055543_2019/7/18 23:38:31_93%_49,1,1,0,0.00
,260,260,0,0.00

天索引,事件总数
2019/7/17,0
2019/7/18,218
2019/7/19,37
2019/7/20,5
,260

# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924973654_2019/7/19 17:15:28_12%_5_19,1,1,0,0.00
2619182023910082744_2019/7/19 6:2:8_100%_94_161,1,1,0,0.00
2619580092253020795_2019/7/19 1:24:7_0%_0_13,1,1,0,0.00
2619580092291154956_2019/7/18 23:51:55_0%_0_24,1,1,0,0.00
2620048470952824409_2019/7/18 22:19:53_0%_0_66,1,1,0,0.00
3123928302830984658_2019/7/18 22:34:48_0%_0_43,1,1,0,0.00
,6,6,0,0.00

天索引,事件总数
2019/7/17,0
2019/7/18,3
2019/7/19,3
2019/7/20,0
,6

