,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
71,"A_english_entrance+scroll+_2018/10/24 0:22:49_32%_63","1","1","0","0",
72,"A_english_entrance+scroll+_2018/10/25 0:10:10_84%_28","1","1","0","0",
73,"A_english_entrance+scroll+_2018/10/30 0:3:33_32%_90","1","1","0","0",
74,"A_english_entrance+scroll+_2018/10/22 0:0:8_75%_42","1","1","0","0",
75,"A_english_entrance+scroll+_2018/10/26 0:32:46_30%_37","1","1","0","0",
76,"A_english_entrance+scroll+_2018/10/23 0:1:9_56%_25","1","1","0","0",
77,"A_english_entrance+scroll+_2018/10/31 0:11:7_17%_28","1","1","0","0",
78,"A_english_entrance+scroll+_2018/10/25 0:4:38_23%_15","1","1","0","0",
79,"A_english_entrance+scroll+_2018/10/31 0:22:53_27%_30","1","1","0","0",
80,"A_english_entrance+scroll+_2018/10/29 23:57:52_76%_164","1","1","0","0",
81,"A_english_entrance+scroll+_2018/10/31 0:12:26_72%_81","1","1","0","0",
82,"A_english_entrance+scroll+_2018/10/29 0:20:41_8%_43","1","1","0","0",
83,"A_english_entrance+scroll+_2018/10/31 0:41:6_3%_2","1","1","0","0",
84,"A_english_entrance+scroll+_2018/10/27 0:15:16_NaN%_226","1","1","0","0",
85,"A_english_entrance+scroll+_2018/10/22 1:46:9_92%_65","1","1","0","0",
86,"A_english_entrance+scroll+_2018/10/27 0:20:53_16%_16","1","1","0","0",
87,"A_english_entrance+scroll+_2018/10/30 0:48:54_44%_69","1","1","0","0",
88,"A_english_entrance+scroll+_2018/10/27 0:26:22_1%_11","1","1","0","0",
89,"A_english_entrance+scroll+_2018/10/23 0:6:11_5%_7","1","1","0","0",
90,"A_english_entrance+scroll+_2018/10/30 0:21:8_97%_51","1","1","0","0",
91,"A_english_entrance+scroll+_2018/10/21 23:59:48_50%_80","1","1","0","0",
92,"A_english_entrance+scroll+_2018/10/31 0:17:33_12%_35","1","1","0","0",
93,"A_english_entrance+scroll+_2018/10/26 0:8:51_93%_55","1","1","0","0",
94,"A_english_entrance+scroll+_2018/10/31 0:36:16_10%_4","1","1","0","0",
95,"A_english_entrance+scroll+_2018/10/31 0:34:4_70%_93","1","1","0","0",
96,"A_english_entrance+scroll+_2018/10/31 0:1:45_6%_23","1","1","0","0",
97,"A_english_entrance+scroll+_2018/10/22 0:28:29_27%_15","1","1","0","0",
98,"A_english_entrance+scroll+_2018/10/24 0:17:32_66%_37","1","1","0","0",
99,"A_english_entrance+scroll+_2018/10/23 0:7:31_19%_44","1","1","0","0",
100,"A_english_entrance+scroll+_2018/10/29 0:3:29_53%_66","1","1","0","0",
101,"A_english_entrance+scroll+_2018/10/25 0:29:28_5%_4","1","1","0","0",
102,"A_english_entrance+scroll+_2018/10/28 0:29:29_49%_49","1","1","0","0",
103,"A_english_entrance+scroll+_2018/10/22 1:12:18_1%_5","1","1","0","0",
104,"A_english_entrance+scroll+_2018/10/22 0:4:46_1%_4","1","1","0","0",
105,"A_english_entrance+scroll+_2018/10/28 0:28:0_1%_11","1","1","0","0",
106,"A_english_entrance+scroll+_2018/10/24 0:20:33_23%_33","1","1","0","0",
107,"A_english_entrance+scroll+_2018/10/29 1:59:38_NaN%_56","1","1","0","0",
108,"A_english_entrance+scroll+_2018/10/31 0:34:51_8%_14","1","1","0","0",
109,"A_english_entrance+scroll+_2018/10/26 0:18:37_67%_117","1","1","0","0",
110,"A_english_entrance+scroll+_2018/10/23 0:3:4_64%_34","1","1","0","0",
111,"A_english_entrance+scroll+_2018/10/29 0:3:29_45%_55","1","1","0","0",
112,"A_english_entrance+scroll+_2018/10/24 0:22:49_10%_29","1","1","0","0",
113,"A_english_entrance+scroll+_2018/10/28 0:50:44_19%_25","1","1","0","0",
114,"A_english_entrance+scroll+_2018/10/27 0:17:46_4%_7","1","1","0","0",
115,"A_english_entrance+scroll+_2018/10/22 0:15:36_48%_22","1","1","0","0",
116,"A_english_entrance+scroll+_2018/10/26 0:20:25_39%_23","1","1","0","0",
117,"A_english_entrance+scroll+_2018/10/27 0:29:31_23%_35","1","1","0","0",
118,"A_english_entrance+scroll+_2018/10/23 0:4:20_29%_32","1","1","0","0",
119,"A_english_entrance+scroll+_2018/10/28 0:15:40_32%_25","1","1","0","0",
120,"A_english_entrance+scroll+_2018/10/30 0:40:28_27%_30","1","1","0","0",
121,"A_english_entrance+scroll+_2018/10/31 0:2:14_6%_10","1","1","0","0",
122,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_84","1","1","0","0",
123,"A_english_entrance+scroll+_2018/10/27 0:27:6_4%_3","1","1","0","0",
124,"A_english_entrance+scroll+_2018/10/27 0:31:51_36%_24","1","1","0","0",
125,"A_english_entrance+scroll+_2018/10/24 0:16:41_66%_38","1","1","0","0",
126,"A_english_entrance+scroll+_2018/10/28 1:16:17_47%_11","1","1","0","0",
127,"A_english_entrance+scroll+_2018/10/23 0:12:21_55%_39","1","1","0","0",
128,"A_english_entrance+scroll+_2018/10/23 0:10:51_90%_110","1","1","0","0",
129,"A_english_entrance+scroll+_2018/10/31 0:5:10_47%_61","1","1","0","0",
130,"A_english_entrance+scroll+_2018/10/28 0:20:57_79%_165","1","1","0","0",
131,"A_english_entrance+scroll+_2018/10/30 0:24:52_72%_52","1","1","0","0",
132,"A_english_entrance+scroll+_2018/10/30 0:31:12_64%_113","1","1","0","0",
133,"A_english_entrance+scroll+_2018/10/24 0:1:18_13%_11","1","1","0","0",
134,"A_english_entrance+scroll+_2018/10/24 0:36:14_60%_94","1","1","0","0",
135,"A_english_entrance+scroll+_2018/10/23 0:0:42_3%_5","1","1","0","0",
136,"A_english_entrance+scroll+_2018/10/28 23:57:41_74%_164","1","1","0","0",
137,"A_english_entrance+scroll+_2018/10/29 1:34:37_49%_218","1","1","0","0",
138,"A_english_entrance+scroll+_2018/10/23 0:6:28_90%_28","1","1","0","0",
139,"A_english_entrance+scroll+_2018/10/23 0:0:55_19%_13","1","1","0","0",
140,"A_english_entrance+scroll+_2018/10/26 0:18:37_15%_21","1","1","0","0",
141,"A_english_entrance+scroll+_2018/10/22 0:3:41_82%_47","1","1","0","0",
142,"A_english_entrance+scroll+_2018/10/30 0:9:14_9%_25","1","1","0","0",
143,"A_english_entrance+scroll+_2018/10/29 0:14:1_10%_7","1","1","0","0",
144,"A_english_entrance+scroll+_2018/10/27 0:2:36_58%_23","1","1","0","0",
145,"A_english_entrance+scroll+_2018/10/23 0:9:51_34%_18","1","1","0","0",
146,"A_english_entrance+scroll+_2018/10/23 0:0:39_32%_23","1","1","0","0",
147,"A_english_entrance+scroll+_2018/10/28 16:18:52_92%_133","1","1","0","0",
148,"A_english_entrance+scroll+_2018/10/24 0:26:52_58%_55","1","1","0","0",
149,"A_english_entrance+scroll+_2018/10/22 23:58:49_101942%_83","1","1","0","0",
150,"A_english_entrance+scroll+_2018/10/28 0:38:3_13%_16","1","1","0","0",
151,"A_english_entrance+scroll+_2018/10/22 0:33:56_NaN%_195","1","1","0","0",
152,"A_english_entrance+scroll+_2018/10/26 0:18:37_12%_14","1","1","0","0",
153,"A_english_entrance+scroll+_2018/10/24 0:23:16_10%_33","1","1","0","0",
154,"A_english_entrance+scroll+_2018/10/31 0:8:34_83%_37","1","1","0","0",
155,"ENGLISH+UID：2619580092291000909+http:/english/user/get_base_user_info-e-20289-timeout of 10000ms exceeded","1","1","0","0",
156,"A_english_entrance+scroll+_2018/10/23 0:3:59_5%_9","1","1","0","0",
157,"A_english_entrance+scroll+_2018/10/27 0:19:37_24%_17","1","1","0","0",
158,"A_english_entrance+scroll+_2018/10/30 0:5:24_50%_47","1","1","0","0",
159,"A_english_entrance+scroll+_2018/10/26 0:15:27_47%_26","1","1","0","0",
160,"A_english_entrance+scroll+_2018/10/25 0:25:25_50%_70","1","1","0","0",
161,"A_english_entrance+scroll+_2018/10/25 0:6:9_5%_12","1","1","0","0",
162,"A_english_entrance+scroll+_2018/10/24 0:4:17_21%_41","1","1","0","0",
163,"A_english_entrance+scroll+_2018/10/22 0:30:30_75%_39","1","1","0","0",
164,"A_english_entrance+scroll+_2018/10/27 0:10:0_30%_40","1","1","0","0",
165,"A_english_entrance+scroll+_2018/10/21 12:2:43_18%_46","1","1","0","0",
166,"A_english_entrance+scroll+_2018/10/31 0:38:59_75%_20","1","1","0","0",
167,"A_english_entrance+scroll+_2018/10/30 0:21:29_12%_32","1","1","0","0",
168,"A_english_entrance+scroll+_2018/10/26 0:12:24_22%_5","1","1","0","0",
169,"A_english_entrance+scroll+_2018/10/22 2:56:52_30%_62","1","1","0","0",
170,"A_english_entrance+scroll+_2018/10/23 0:11:12_28%_11","1","1","0","0",
171,"ENGLISH+UID：2619735130092327153+http:/english/study/reading_exam_list-e-20274-timeout of 10000ms exceeded","1","1","0","0",
172,"A_english_entrance+scroll+_2018/10/31 0:12:9_38%_23","1","1","0","0",
173,"A_english_entrance+scroll+_2018/10/31 0:36:16_76%_42","1","1","0","0",
174,"A_english_entrance+scroll+_2018/10/30 23:58:26_98%_131","1","1","0","0",
175,"A_english_entrance+scroll+_2018/10/29 0:11:51_3%_5","1","1","0","0",
176,"A_english_entrance+scroll+_2018/10/24 0:15:33_2%_6","1","1","0","0",
177,"A_english_entrance+scroll+_2018/10/31 0:0:27_12%_25","1","1","0","0",
178,"A_english_entrance+scroll+_2018/10/25 0:35:21_3%_21","1","1","0","0",
179,"A_english_entrance+scroll+_2018/10/30 0:37:55_67%_37","1","1","0","0",
180,"A_english_entrance+scroll+_2018/10/28 0:13:15_5%_3","1","1","0","0",
181,"A_english_entrance+scroll+_2018/10/27 0:4:21_48%_9","1","1","0","0",
182,"A_english_entrance+scroll+_2018/10/22 0:21:42_5%_22","1","1","0","0",
183,"A_english_entrance+scroll+_2018/10/29 0:48:9_21%_13","1","1","0","0",
184,"A_english_entrance+scroll+_2018/10/28 1:6:39_45%_97","1","1","0","0",
185,"A_english_entrance+scroll+_2018/10/29 1:49:9_72%_23","1","1","0","0",
186,"A_english_entrance+scroll+_2018/10/28 0:20:57_6%_18","1","1","0","0",
187,"A_english_entrance+scroll+_2018/10/26 0:28:15_79%_99","1","1","0","0",
188,"A_english_entrance+scroll+_2018/10/22 0:2:12_20%_59","1","1","0","0",
189,"A_english_entrance+scroll+_2018/10/23 0:6:51_48%_67","1","1","0","0",
190,"A_english_entrance+scroll+_2018/10/28 0:1:46_29%_14","1","1","0","0",
