,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
88,"A_english_entrance+scroll+2619735130094126455_2018/8/18 1:4:37_NaN%_8","2","1","0","0",
89,"ENGLISH+UID：2619580092297308852+http:/english/study/reading-e-325-Network Error","2","1","0","0",
90,"ENGLISH+UID：2619580092297308852+http:/english/user/get_tree-e-374-Network Error","2","1","0","0",
91,"ENGLISH+UID：2619735130085487938+http:/v1/wechat/get_wchat_sign-e-349-Request failed with status code 502","2","1","0","0",
92,"CHICKEN_VITALITY+UID：+http:/activity/vitality/question_result_info-e-20386-timeout of 10000ms exceeded","2","2","0","0",
93,"A_english_entrance+scroll+2619735130071666128_2018/8/18 0:21:44_NaN%_2","2","1","0","0",
94,"CHICKEN_VITALITY+UID：+http:/activity/vitality/question_result_info-e-20223-timeout of 10000ms exceeded","2","2","0","0",
95,"CHICKEN_VITALITY+UID：+http:/activity/vitality/temp_pap-e-168-Request failed with status code 400","2","2","0","0",
96,"activity_ncee_q_next_btn+click+q_11","2","2","0","0",
97,"A_english_entrance+scroll+2619735130092926322_2018/8/15 18:9:58_NaN%_69","2","1","0","0",
98,"A_english_entrance+scroll+2619580092284397801_2018/8/16 0:51:1_NaN%_5","2","1","0","0",
99,"A_english_entrance+scroll+2619735130092914241_2018/8/15 17:23:8_NaN%_12","2","1","0","0",
100,"ENGLISH+UID：2619735130085487938+http:/english/user/get_base_user_info-e-356-Network Error","2","1","0","0",
101,"A_english_entrance+scroll+2619735130092926322_2018/8/15 18:9:58_NaN%_22","2","1","0","0",
102,"A_english_entrance+scroll+2619735130083109903_2018/8/17 23:55:53_NaN%_246","2","1","0","0",
103,"A_english_entrance+scroll+2619735130094126455_2018/8/18 1:4:37_NaN%_1","2","1","0","0",
104,"A_english_entrance+scroll+2619735130094126455_2018/8/18 1:4:37_NaN%_51","2","1","0","0",
105,"A_english_entrance+scroll+2619735130094126455_2018/8/18 1:4:37_NaN%_62","2","1","0","0",
106,"A_english_entrance+scroll+2619735130071666128_2018/8/18 0:22:5_NaN%_2","2","1","0","0",
107,"ENGLISH+UID：3123767259531610736+http:/english/study/exam_answer-e-2231-Request failed with status code 400","2","1","0","0",
108,"ENGLISH+UID：2619580092297308852+http:/english/user/get_tree-e-316-Network Error","2","1","0","0",
109,"A_english_entrance+scroll+2619735130092926322_2018/8/15 18:9:58_NaN%_6","2","1","0","0",
110,"CHICKEN_VITALITY+UID：+http:/activity/vitality/get_user_info-e-20258-timeout of 10000ms exceeded","2","2","0","0",
111,"exchange_message+click+join_cupid","2","2","0","0",
112,"ENGLISH+UID：2619735130085487938+http:/v1/wechat/get_wchat_sign-e-342-Request failed with status code 502","2","1","0","0",
113,"A_english_entrance+scroll+2619735130092926322_2018/8/15 18:9:58_NaN%_25","2","1","0","0",
114,"A_english_entrance+scroll+2619735130092926322_2018/8/15 18:9:58_NaN%_17","2","1","0","0",
115,"A_english_entrance+scroll+2619735130092156402_2018/8/16 0:23:8_2%_4","1","1","0","0",
116,"A_english_entrance+scroll+2619735130093691671_2018/8/17 2:48:17_19%_44","1","1","0","0",
117,"A_english_entrance+scroll+2619735130093175383_2018/8/16 0:56:35_3%_49","1","1","0","0",
118,"ENGLISH+UID：2619735130092752498+http:/english/study/exam_answer-e-2197-Request failed with status code 400","1","1","0","0",
119,"A_english_entrance+scroll+2619735130084805675_2018/8/17 2:24:42_101%_45","1","1","0","0",
120,"A_english_entrance+scroll+2619735130093168241_2018/8/16 0:35:34_15%_5","1","1","0","0",
121,"A_english_entrance+scroll+2619735130089639169_2018/8/17 0:6:25_40%_9","1","1","0","0",
122,"A_english_entrance+scroll+2619735130093164721_2018/8/16 0:25:58_22%_26","1","1","0","0",
123,"A_english_entrance+scroll+2619735130093174951_2018/8/16 0:54:9_34%_22","1","1","0","0",
124,"A_english_entrance+scroll+2619735130094020841_2018/8/18 1:40:57_67%_38","1","1","0","0",
125,"ENGLISH+UID：2619735130085822093+http:/english/study/save_reading_result-e-365-Network Error","1","1","0","0",
126,"A_english_entrance+scroll+2619735130093729232_2018/8/17 6:1:46_3%_11","1","1","0","0",
127,"A_english_entrance+scroll+2618666497924802760_2018/8/18 0:16:50_10%_12","1","1","0","0",
128,"english+/v1/training/get_training_user_info?_ajax_stamp_=1534294113170-e-186-Request failed with status code 400+-","1","1","0","0",
129,"A_english_entrance+scroll+2619735130094173566_2018/8/18 5:29:12_7%_14","1","1","0","0",
130,"english+/v1/training/get_training_user_info?_ajax_stamp_=1534284647221-e-141-Request failed with status code 400+-","1","1","0","0",
131,"A_english_entrance+scroll+2619580092294969010_2018/8/16 0:10:48_16%_30","1","1","0","0",
132,"A_english_entrance+scroll+2619735130090084794_2018/8/16 0:15:47_95%_73","1","1","0","0",
133,"A_english_entrance+scroll+2619735130094119914_2018/8/18 0:43:30_100%_82","1","1","0","0",
134,"ENGLISH+UID：2619580092300223873+http:/english/user/get_base_user_info-e-442-Network Error","1","1","0","0",
135,"ENGLISH+UID：2619735130077643207+http:/english/study/reading_exam_list-e-499-Network Error","1","1","0","0",
136,"A_english_entrance+scroll+2619580092286107895_2018/8/17 0:33:9_37%_131","1","1","0","0",
137,"ENGLISH+UID：2619735130075035839+http:/english/study/get_all_words-e-20281-timeout of 10000ms exceeded","1","1","0","0",
138,"A_english_entrance+scroll+2619735130093165307_2018/8/16 0:28:46_95%_20","1","1","0","0",
139,"A_english_entrance+scroll+2619735130068606457_2018/8/16 0:48:7_11%_22","1","1","0","0",
140,"A_english_entrance+scroll+2619182023910375971_2018/8/15 17:30:6_46%_35","1","1","0","0",
141,"A_english_entrance+scroll+2619735130089455196_2018/8/17 0:29:19_1%_3","1","1","0","0",
142,"A_english_entrance+scroll+2619735130092914241_2018/8/15 17:23:8_NaN%_10","1","1","0","0",
143,"A_english_entrance+scroll+2619580092296459718_2018/8/16 23:59:34_36%_35","1","1","0","0",
144,"A_english_entrance+scroll+2619735130089257541_2018/8/16 0:0:55_58%_32","1","1","0","0",
145,"A_english_entrance+scroll+3123375669439230992_2018/8/17 0:11:6_42%_26","1","1","0","0",
146,"A_english_entrance+scroll+2619735130093665652_2018/8/17 0:34:9_39%_46","1","1","0","0",
147,"A_english_entrance+scroll+2619735130093690804_2018/8/17 2:44:58_15%_16","1","1","0","0",
148,"A_english_entrance+scroll+3123869426162553807_2018/8/17 5:1:27_16%_51","1","1","0","0",
149,"A_english_entrance+scroll+2619735130093165307_2018/8/16 0:27:31_100%_21","1","1","0","0",
150,"A_english_entrance+scroll+2619580092281171486_2018/8/15 22:55:4_63%_871","1","1","0","0",
151,"A_english_entrance+scroll+2619735130092919590_2018/8/15 17:44:59_46%_78","1","1","0","0",
152,"ENGLISH+UID：2619735130077517314+http:/english/user/get_tree-e-370-Network Error","1","1","0","0",
153,"A_english_entrance+scroll+2619735130074875445_2018/8/17 0:34:43_20%_15","1","1","0","0",
154,"A_english_entrance+scroll+2619735130093168308_2018/8/16 0:43:58_12%_14","1","1","0","0",
155,"A_english_entrance+scroll+2619735130092121430_2018/8/18 1:8:48_61%_120","1","1","0","0",
156,"A_english_entrance+scroll+2619735130092919060_2018/8/15 17:41:34_28%_19","1","1","0","0",
157,"english+/v1/training/get_training_user_info?_ajax_stamp_=1534315007233-e-138-Request failed with status code 400+-","1","1","0","0",
158,"ENGLISH+UID：2619735130084869602+http:/english/user/get_tree-e-354-Network Error","1","1","0","0",
159,"A_english_entrance+scroll+2619735130094163854_2018/8/18 4:40:47_82%_111","1","1","0","0",
160,"ENGLISH+UID：2619735130079564739+http:/english/study/exam_answer-e-2184-Request failed with status code 400","1","1","0","0",
161,"A_english_entrance+scroll+2619735130091743412_2018/8/18 7:24:46_13%_17","1","1","0","0",
162,"A_english_entrance+scroll+2619735130092919733_2018/8/15 17:46:58_4%_4","1","1","0","0",
163,"A_english_entrance+scroll+2619735130093168241_2018/8/16 0:36:35_83%_51","1","1","0","0",
164,"A_english_entrance+scroll+2619182023912082186_2018/8/18 0:2:8_21%_17","1","1","0","0",
165,"A_english_entrance+scroll+2619735130094127235_2018/8/18 1:9:29_14%_5","1","1","0","0",
166,"A_english_entrance+scroll+2619735130094166372_2018/8/18 4:56:13_31%_78","1","1","0","0",
167,"A_english_entrance+scroll+2619580092263158104_2018/8/18 0:10:16_60%_25","1","1","0","0",
168,"A_english_entrance+scroll+2619735130093665078_2018/8/17 0:32:38_4%_7","1","1","0","0",
169,"A_english_entrance+scroll+2619735130093663413_2018/8/17 0:25:4_25%_5","1","1","0","0",
170,"A_english_entrance+scroll+2619735130093167808_2018/8/16 0:35:37_29%_26","1","1","0","0",
171,"A_english_entrance+scroll+2619580092281171486_2018/8/15 22:55:4_55%_813","1","1","0","0",
172,"A_english_entrance+scroll+2619580092273284761_2018/8/16 0:18:26_17%_10","1","1","0","0",
173,"A_english_entrance+scroll+2619580092291495984_2018/8/18 0:27:12_35%_35","1","1","0","0",
174,"A_english_entrance+scroll+3123869426162553807_2018/8/17 5:1:27_100%_171","1","1","0","0",
175,"A_english_entrance+scroll+2619735130093731421_2018/8/17 6:10:46_21%_30","1","1","0","0",
176,"A_english_entrance+scroll+2619498866799759414_2018/8/16 1:6:16_101%_85","1","1","0","0",
177,"A_english_entrance+scroll+3123375669439665140_2018/8/15 17:39:38_23%_14","1","1","0","0",
178,"A_english_entrance+scroll+2619735130093167553_2018/8/16 0:32:41_21%_34","1","1","0","0",
179,"A_english_entrance+scroll+2619735130093691671_2018/8/17 2:48:17_1%_9","1","1","0","0",
180,"A_english_entrance+scroll+3123869426162553807_2018/8/17 5:1:27_40%_80","1","1","0","0",
181,"ENGLISH+UID：2619735130068084864+http:/english/user/get_base_user_info-e-359-Network Error","1","1","0","0",
182,"A_english_entrance+scroll+3123375669439230992_2018/8/17 0:11:6_9%_10","1","1","0","0",
183,"A_english_entrance+scroll+2619735130092597789_2018/8/16 0:25:26_57%_63","1","1","0","0",
184,"A_english_entrance+scroll+2619735130093665652_2018/8/17 0:34:9_93%_50","1","1","0","0",
185,"A_english_entrance+scroll+2619735130094163854_2018/8/18 4:40:12_1%_2","1","1","0","0",
186,"A_english_entrance+scroll+2619580092248581977_2018/8/17 1:29:22_18%_29","1","1","0","0",
187,"A_english_entrance+scroll+2619735130093164524_2018/8/16 0:24:52_94%_108","1","1","0","0",
188,"A_english_entrance+scroll+2619735130094173287_2018/8/18 5:28:22_64%_197","1","1","0","0",
189,"A_english_entrance+scroll+2619735130093869729_2018/8/18 0:49:39_9%_7","1","1","0","0",
190,"A_english_entrance+scroll+2619735130093726494_2018/8/17 5:56:7_15%_17","1","1","0","0",
191,"A_english_entrance+scroll+2619580092270471295_2018/8/18 0:50:25_NaN%_5","1","1","0","0",
192,"A_english_entrance+scroll+2619735130093731421_2018/8/17 6:10:46_64%_82","1","1","0","0",
193,"A_english_entrance+scroll+2619735130093169611_2018/8/16 0:37:36_41%_35","1","1","0","0",
194,"A_english_entrance+scroll+2619735130093690804_2018/8/17 2:44:58_57%_94","1","1","0","0",
195,"ENGLISH+UID：2619735130092807072+http:/english/user/get_sign_in_share_page_info-e-23101-timeout of 10000ms exceeded","1","1","0","0",
196,"A_english_entrance+scroll+2619735130093731421_2018/8/17 6:10:46_1%_12","1","1","0","0",
197,"ENGLISH+UID：2618666497928157476+http:/v1/wechat/get_wchat_sign-e-444-Request failed with status code 502","1","1","0","0",
198,"A_english_entrance+scroll+2619735130093165367_2018/8/16 0:27:49_8%_32","1","1","0","0",
199,"ENGLISH+UID：2619735130078739196+http:/english/user/get_base_user_info-e-26368-timeout of 10000ms exceeded","1","1","0","0",
200,"A_english_entrance+scroll+2619735130093168275_2018/8/16 0:35:20_20%_39","1","1","0","0",
201,"A_english_entrance+scroll+2619735130093167808_2018/8/16 0:35:37_36%_41","1","1","0","0",
202,"A_english_entrance+scroll+2619735130094180857_2018/8/18 5:58:29_17%_15","1","1","0","0",
203,"A_english_entrance+scroll+2619580092291495984_2018/8/18 0:20:5_43%_35","1","1","0","0",
204,"ENGLISH+UID：2619580092289706508+http:/english/user/watering-e-605-Request failed with status code 400","1","1","0","0",
205,"A_english_entrance+scroll+2619735130093175383_2018/8/16 0:56:35_35%_105","1","1","0","0",
206,"ENGLISH+UID：2619735130085441572+http:/english/user/get_tree-e-415-Network Error","1","1","0","0",
207,"A_english_entrance+scroll+2619735130093169611_2018/8/16 0:36:30_8%_6","1","1","0","0",
208,"A_english_entrance+scroll+2619735130093664569_2018/8/17 0:30:11_5%_9","1","1","0","0",
209,"A_english_entrance+scroll+2619735130087647137_2018/8/15 17:26:54_38%_46","1","1","0","0",
210,"A_english_entrance+scroll+2619735130082667779_2018/8/16 0:16:49_49%_20","1","1","0","0",
211,"A_english_entrance+scroll+2619735130094187495_2018/8/18 6:17:2_41%_23","1","1","0","0",
212,"A_english_entrance+scroll+2619735130093168241_2018/8/16 0:36:35_76%_44","1","1","0","0",
213,"ENGLISH+UID：2619735130084055142+http:/english/user/watering-e-489-Network Error","1","1","0","0",
214,"A_english_entrance+scroll+2618666497924802760_2018/8/18 0:16:50_87%_57","1","1","0","0",
215,"A_english_entrance+scroll+2619182023906903293_2018/8/17 0:56:57_6%_12","1","1","0","0",
216,"A_english_entrance+scroll+2619735130093668093_2018/8/17 0:43:32_10%_3","1","1","0","0",
217,"A_english_entrance+scroll+2619735130094193638_2018/8/18 6:36:21_70%_90","1","1","0","0",
218,"A_english_entrance+scroll+2619735130079463464_2018/8/18 3:26:57_12%_27","1","1","0","0",
219,"A_english_entrance+scroll+2619735130094141440_2018/8/18 2:17:35_7%_18","1","1","0","0",
220,"A_english_entrance+scroll+2619735130090720905_2018/8/16 0:29:15_19%_11","1","1","0","0",
221,"A_english_entrance+scroll+2618972521796448592_2018/8/16 0:51:34_69%_90","1","1","0","0",
222,"ENGLISH+UID：2619580092297308852+http:/v1/wechat/get_wchat_sign-e-402-Request failed with status code 502","1","1","0","0",
223,"A_english_entrance+scroll+2619735130093671025_2018/8/17 0:53:30_82%_88","1","1","0","0",
224,"A_english_entrance+scroll+2619182023906903293_2018/8/17 0:56:57_69%_54","1","1","0","0",
225,"A_english_entrance+scroll+2619735130093157307_2018/8/16 0:9:16_2%_3","1","1","0","0",
226,"A_english_entrance+scroll+2619735130068606457_2018/8/16 0:48:7_51%_108","1","1","0","0",
227,"A_english_entrance+scroll+2619735130090165109_2018/8/16 0:49:53_5%_2","1","1","0","0",
228,"A_english_entrance+scroll+2619735130094122556_2018/8/18 0:50:12_84%_125","1","1","0","0",
229,"A_english_entrance+scroll+2619735130092926436_2018/8/15 18:12:3_38%_46","1","1","0","0",
230,"ENGLISH+UID：2619580092297308852+http:/english/user/get_tree-e-359-Network Error","1","1","0","0",
231,"A_english_entrance+scroll+2619735130092915654_2018/8/15 17:26:22_62%_74","1","1","0","0",
232,"A_english_entrance+scroll+2618972521793501431_2018/8/16 0:25:42_34%_30","1","1","0","0",
233,"A_english_entrance+scroll+2619735130093726491_2018/8/17 5:55:33_29%_3","1","1","0","0",
234,"A_english_entrance+scroll+2619735130094130206_2018/8/18 1:22:6_69%_32","1","1","0","0",
235,"A_english_entrance+scroll+2619735130089639169_2018/8/17 0:6:25_38%_9","1","1","0","0",
236,"ENGLISH+UID：2619735130063277105+http:/english/user/get_sign_in_share_page_info-e-630-Network Error","1","1","0","0",
237,"A_english_entrance+scroll+2619182023908835469_2018/8/15 18:9:11_7%_2","1","1","0","0",
238,"A_english_entrance+scroll+2619580092294969010_2018/8/16 0:10:48_72%_38","1","1","0","0",
239,"A_english_entrance+scroll+2619735130094107377_2018/8/18 0:11:13_23%_15","1","1","0","0",
240,"A_english_entrance+scroll+2619735130080974411_2018/8/17 0:30:44_64%_31","1","1","0","0",
241,"A_english_entrance+scroll+2619735130093709525_2018/8/16 17:44:18_8%_35","1","1","0","0",
242,"A_english_entrance+scroll+2619735130092926436_2018/8/15 18:12:3_62%_72","1","1","0","0",
243,"A_english_entrance+scroll+2619735130094141440_2018/8/18 2:17:35_55%_58","1","1","0","0",
244,"A_english_entrance+scroll+2619735130093174016_2018/8/16 0:49:37_6%_10","1","1","0","0",
245,"A_english_entrance+scroll+2619735130089751245_2018/8/15 23:59:28_45%_30","1","1","0","0",
246,"A_english_entrance+scroll+2619735130093709525_2018/8/16 17:44:18_24%_54","1","1","0","0",
247,"A_english_entrance+scroll+2619735130094129509_2018/8/18 1:17:6_50%_50","1","1","0","0",
248,"A_english_entrance+scroll+2619735130093175383_2018/8/16 0:56:35_54%_136","1","1","0","0",
249,"A_english_entrance+scroll+2619735130094122556_2018/8/18 0:50:12_25%_38","1","1","0","0",
250,"A_english_entrance+scroll+2619735130092918802_2018/8/15 17:38:8_4%_5","1","1","0","0",
251,"A_english_entrance+scroll+2619735130093167553_2018/8/16 0:32:41_62%_111","1","1","0","0",
252,"A_english_entrance+scroll+2619735130092926436_2018/8/15 18:12:3_92%_86","1","1","0","0",
253,"english+/v1/training/get_training_user_info?_ajax_stamp_=1534290330690-e-176-Request failed with status code 400+-","1","1","0","0",
254,"english+/v1/training/get_training_user_info?_ajax_stamp_=1534317314800-e-3673-Request failed with status code 400+-","1","1","0","0",
255,"A_english_entrance+scroll+2619580092291495984_2018/8/18 0:27:12_100%_51","1","1","0","0",
256,"A_english_entrance+scroll+2618972521793805656_2018/8/18 6:30:19_81%_94","1","1","0","0",
257,"A_english_entrance+scroll+2619735130094119914_2018/8/18 0:45:5_2%_2","1","1","0","0",
258,"A_english_entrance+scroll+2619735130092913824_2018/8/15 17:18:48_61%_36","1","1","0","0",
259,"ENGLISH+UID：2619735130079413192+http:/english/user/get_base_user_info-e-788-Network Error","1","1","0","0",
