序号,全部事件 (类型+操作+标签),事件总数,唯一访客事件数,事件价值,平均价值
,A_english_entrance+scroll+_2018/10/23 0:6:11_19%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 3:7:7_2%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:8:39_6%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:34:12_51%_45,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:8:27_6%_30,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:2:31_9%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:22:30_55%_76,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:6:5_28%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:33:56_34%_62,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:3:31_38%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:18:18_56%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:31:4_3%_9,1,1,0,0
,A_english_entrance+pay_success+_2018/10/22 0:54:48_70%_34_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:29:53_15%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:2:55_8%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:4:46_45%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:42_487%_116,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:39_18%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:1:54_6%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:21:47_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:4:40_38%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:11:39_29%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:42_23%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:27:14_17%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:33:56_78%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:40:41_34%_64,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:26:19_11%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:2:55_37%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:44:27_2%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:39:5_12%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:27:37_59%_103,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:1:44_1%_26,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:15:32_10%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:35:43_7%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:44:12_1%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 23:59:58_33%_71,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:23:50_10%_25,1,1,0,0
,ENGLISH+UID：2619735130100521963+http:/english/study/collect_words-e-1724-Network Error,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:16:59_97%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:7_76%_35,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:2:55_4%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:57:3_77%_59,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:16:43_7%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:55_4%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:8:6_44%_418,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:31_28%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:11:30_13%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:19:37_29%_60,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:29:24_44%_35,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:12_10%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:14:23_59%_81,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:8_62%_81,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:28:50_57%_137,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:51_44%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:17:58_17%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:28:39_13%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:25:36_19%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:10:15_9%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:55_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:17:42_75%_80,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:0:59_83%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:29:25_85%_61,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:19:37_37%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:30:33_56%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:31:36_6%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:25:14_10%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:56_10%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:4:24_64%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:4:38_22%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:15:25_93%_102,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:37:45_99%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:57:3_78%_63,1,1,0,0
,ENGLISH+UID：2619735130113169067+http:/v1/wechat/get_wchat_sign-e-523-Request failed with status code 502,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:40:39_100%_79,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:12:52_1%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:50:24_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:32:4_10%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:29:18_4%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:1:2_16%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:3:57_11%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:43:51_8%_41,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:9:45_16%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:15:10_21%_26,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:4:35_6%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:17:32_61%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:29:46_55%_48,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:17:33_23%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:32:47_2%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:3_92%_173,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:10:29_99%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:18:38_19%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:5:47_9%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:12:21_50%_61,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:9_61%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:37_32%_66,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:12:45_79%_57,1,1,0,0
,ENGLISH+UID：2619735130113537575+http:/english/study/today-e-533-Network Error,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:20:57_12%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:55:14_70%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:11:27_14%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:33:13_49%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:1:25_1034%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:2:15_19%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:17:15_82%_130,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:17:27_37%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:18:38_100%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 23:59:58_43%_108,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:10:22_84%_93,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:8:10_23%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:1:25_NaN%_117,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:1:31_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:48_97%_76,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:10:17_59%_32,1,1,0,0
,A_english_entrance+pay_success+_2018/10/27 0:41:21_18%_14_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:52_58%_58,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:32:48_20%_34,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:11:22_25%_45,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:12:52_75%_50,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:22:38_99%_117,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:7:3_1%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:54:17_26%_105,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:16:9_57%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:38:52_2%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:57:26_15%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:32:17_52%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:32_78%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:3:21_17%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:4:41_57%_45,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:11_25%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:11:38_23%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:11:39_81%_54,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:2:27_25%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:18:54_21%_29,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:16:21_54%_63,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:13_16%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:5:2_39%_26,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:11:47_13%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:24:36_46%_61,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:22:53_22%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:39:1_64%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:40:39_2%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:16:7_26%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:20:25_5%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:43:18_40%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:27:1_35%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:21:42_33%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:5:26_19%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:31:18_4%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:0:34_41%_111,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:4:2_50%_80,1,1,0,0
,ENGLISH+UID：2619182023907999713+http:/english/user/get_base_user_info-e-20254-timeout of 10000ms exceeded,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:1:59_32%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:22:23_20%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:0:52_5%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:3_10%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:8:42_74%_54,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:9:45_1%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:33:13_7%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:1:8_15%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 23:59:50_37%_49,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:34_92%_286,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:15:7_3%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:11_15%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:10:35_34%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:15:18_83%_77,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:30:27_37%_83,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:10:50_5%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:48:54_100%_112,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:49:6_7%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:14:33_1%_3,1,1,0,0
,ENGLISH+UID：2619735130115149576+http:/english/study/exam_answer-e-2216-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:30:50_37%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:26:22_41%_122,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:11:12_34%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:50_27%_46,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:5:8_16%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 23:59:32_55%_45,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:4:2_9%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:7:1_6%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:26:19_1401%_170,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:20:13_7%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:40:27_10%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:46:1_4%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:58_22%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:5_14%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:46_8%_88,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:4:27_24%_41,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:45:37_99%_183,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:13:27_63%_143,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:46:1_2%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:22:24_12%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:29:25_19%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:26:27_73%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:23:16_2%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:21:42_49%_52,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:47:4_43%_49,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 19:53:0_39%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:26:25_4%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:13:37_41%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:15:29_10%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 23:59:48_35%_54,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:9:9_13%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:6:39_10%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:3:23_44%_111,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:26:43_100%_58,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:34_18%_79,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:3_95%_180,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:24:48_12%_35,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:13:21_89%_147,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:24:38_3%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 18:12:34_79%_84,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:42:41_34%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:21:26_23%_53,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:12:7_8%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:3:1_12%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:18:23_26%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:42:49_78%_98,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:3_19%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:6:48_11294%_355,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:20:7_21%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:20:35_75%_76,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:21:21_22%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:13:37_100%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:7:12_22%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:50:55_2%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:13:28_80%_130,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 1:22:38_14%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:12:44_1%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:11_2%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 23:26:12_82%_113,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:38:1_7%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:2:38_9%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:42:45_58%_63,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:11:51_6%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:4:56_9%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:3:18_10%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:51_39%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:41_100%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:17:27_82%_66,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:4:2_2%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:1:23_48%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:17:29_20%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 23:39:12_47%_1614,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:33:16_28%_38,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:16_62%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:41_16%_54,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:14:12_5%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:18:54_64%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:19:0_35%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:42:12_87%_42,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:9_22%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 12:2:43_38%_66,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:11:18_66%_26,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:41_77%_126,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:28:23_18%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:6:14_97%_58,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:6:48_83%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:1:38_1%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:7:38_4%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 23:59:46_40%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:24_82%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:18:39_14%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:2:12_63%_73,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:1:18_17%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:57_54%_57,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:5:52_67%_77,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:9:9_61%_46,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:29:41_9%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:19:50_66%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:25:22_54%_59,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:28:49_1%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:29:25_91%_65,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:25_31%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 23:26:12_39%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:10:50_7%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:24:46_10%_45,1,1,0,0
,ENGLISH+UID：2619735130111137798+http:/english/user/watering-e-10310-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:6:12_20%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:55:14_71%_71,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:23:7_7%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:27:29_6%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:12:50_8307%_113,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:44_93%_114,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 23:59:4_87%_86,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:37:43_4%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:36:14_9%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:50_16%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:11:7_25%_38,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:6:11_4%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:5:4_90%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:24:38_7%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:46:47_100%_130,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:13:37_68%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:11:39_1%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:13:57_18%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:8:10_56%_45,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:3:44_100%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:38:5_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:3:20_22%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:26:19_92%_144,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:37_36%_76,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:7:17_1%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 17:29:43_91%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:12:18_36%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:8:2_14%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:12:15_5%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:27:29_2%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:3:41_8%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:4:26_101%_102,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:18:4_5%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:49:4_19%_38,1,1,0,0
,ENGLISH+UID：2619735130098592551+http:/english/user/watering-e-9455-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:7_38%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:31:54_21%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:34_29%_89,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:10:10_24%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:30:1_2%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:7_27%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:48:54_58%_82,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:3:33_8%_53,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:44_27%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:7:38_2%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:49:29_59%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:39:51_12%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:6:39_13%_40,1,1,0,0
,ENGLISH+UID：2619735130103920238+http:/english/user/get_base_user_info-e-19183-Network Error,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 23:59:50_29%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:40:17_58%_58,1,1,0,0
,ENGLISH+UID：2619735130111962854+http:/v1/cart/order_confirmation-e-27591-timeout of 10000ms exceeded,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:28:8_3%_24,1,1,0,0
,ENGLISH+UID：2619735130113716630+http:/english/user/watering-e-489-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:34:34_84%_43,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:33_1%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:31:34_26%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:4:40_88%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:0:34_21%_62,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:29:53_7%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:2:11_9%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:7:0_6%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:23:2_3%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:6:43_23%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:29:7_34%_7,1,1,0,0
,ENGLISH+UID：2619735130105328894+http:/english/user/watering-e-9619-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 23:59:58_14%_41,1,1,0,0
