序号,全部事件 (类型+操作+标签),事件总数,唯一访客事件数,事件价值,平均价值
,A_english_entrance+scroll+_2018/10/24 0:7:27_11%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:55:58_8%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:23:7_28%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:9:23_NaN%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:2:55_47%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:1:45_51%_1178,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:20:13_69%_43,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:46_52%_275,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:10:0_9%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:2:13_9%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:11_13%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:55:13_31%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:3:10_1%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:12:15_NaN%_59,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:7:31_4%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:8:33_26%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:15:40_29%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:0:5_14%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:35:28_48%_89,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:15:38_32%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:1:41_45%_67,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:3_98%_182,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:17:55_5%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:22:49_32%_63,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:10:10_84%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:3:33_32%_90,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:0:8_75%_42,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:32:46_30%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:1:9_56%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:11:7_17%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:4:38_23%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:22:53_27%_30,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 23:57:52_76%_164,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:12:26_72%_81,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:41_8%_43,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:41:6_3%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:15:16_NaN%_226,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:46:9_92%_65,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:20:53_16%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:48:54_44%_69,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:26:22_1%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:11_5%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:21:8_97%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 23:59:48_50%_80,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:17:33_12%_35,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:51_93%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:36:16_10%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:34:4_70%_93,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:1:45_6%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:28:29_27%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:17:32_66%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:31_19%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:3:29_53%_66,1,1,0,0
