# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2619735130092768380_2019/7/19 20:29:0_7%_15,1,1,0,0.00
2619735130092768380_2019/7/19 20:29:0_8%_16,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_14%_15,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_20%_16,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_26%_20,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_3%_12,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_30%_25,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_31%_27,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_50%_38,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_56%_39,1,1,0,0.00
2619735130092768380_2019/7/19 21:56:51_8%_13,1,1,0,0.00
2619735130099413949_2019/7/20 20:41:14_2%_4,1,1,0,0.00
2619735130127972392_2019/7/19 21:3:57_17%_15,1,1,0,0.00
2619735130127972392_2019/7/19 21:4:15_100%_43,1,1,0,0.00
2619735130127972392_2019/7/19 21:5:15_26%_6,1,1,0,0.00
2619735130127972392_2019/7/19 21:5:15_69%_16,1,1,0,0.00
2619735130127972392_2019/7/19 21:5:15_7%_5,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_1%_15,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_12%_17,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_14%_19,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_15%_26,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_17%_27,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_19%_28,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_21%_29,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_22%_30,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_25%_32,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_28%_34,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_33%_35,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_35%_46,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_38%_49,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_42%_56,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_45%_63,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_49%_67,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_54%_68,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_6%_16,1,1,0,0.00
2619735130130103524_2019/7/20 14:11:45_61%_70,1,1,0,0.00
2619735130137322896_2019/7/19 20:4:19_NaN%_8,1,1,0,0.00
2619735130139879362_2019/7/19 23:5:19_17%_5,1,1,0,0.00
2619735130139879362_2019/7/19 23:5:19_7%_4,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_100%_125,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_19%_14,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_22%_17,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_23%_18,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_29%_23,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_32%_24,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_33%_30,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_34%_31,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_35%_35,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_38%_36,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_4%_12,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_40%_45,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_43%_53,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_47%_55,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_50%_56,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_51%_81,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_54%_83,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_55%_83,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_58%_86,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_62%_89,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_64%_90,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_71%_92,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_75%_100,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_76%_100,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_79%_102,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_85%_105,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_86%_107,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_88%_112,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_92%_118,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_95%_120,1,1,0,0.00
2619735130141501442_2019/7/18 22:13:51_99%_125,1,1,0,0.00
2620048470948166929_2019/7/19 20:43:29_3%_9,1,1,0,0.00
2620048470948166929_2019/7/19 20:43:29_5%_10,1,1,0,0.00
2620048470948166929_2019/7/19 20:43:29_6%_11,1,1,0,0.00
