# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924986250_2019/7/19 22:51:42_12%_11,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_19%_16,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_20%_17,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_21%_18,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_31%_22,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_33%_23,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_39%_35,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_4%_9,1,1,0,0.00
2618666497924986250_2019/7/19 22:51:42_45%_41,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_-346%_782,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_-346%_904,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_100%_776,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_1608%_804,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_1608%_849,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_1608%_884,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_18%_17,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_29%_18,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_32%_735,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_34%_736,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_42%_742,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_46%_742,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_56%_743,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_56%_914,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_585%_875,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_6%_13,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_638%_906,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_65%_743,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_67%_760,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_68%_761,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_684%_814,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_684%_860,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_74%_762,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_76%_764,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_795%_795,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_81%_771,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_87%_772,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_89%_772,1,1,0,0.00
2618666497925011786_2019/7/20 22:56:33_94%_775,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_100%_70,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_11%_13,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_18%_17,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_20%_19,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_23%_21,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_24%_22,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_27%_23,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_3%_8,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_32%_26,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_40%_27,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_5%_11,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_50%_28,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_56%_29,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_59%_30,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_65%_32,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_77%_33,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_83%_34,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_84%_38,1,1,0,0.00
2618666497925051816_2019/7/19 22:36:30_87%_42,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_100%_24,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_14%_12,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_22%_13,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_33%_15,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_38%_17,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_50%_18,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_57%_20,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_6%_7,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_64%_21,1,1,0,0.00
2618666497925052099_2019/7/20 20:47:53_73%_22,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_100%_77,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_13%_16,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_14%_21,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_18%_22,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_19%_22,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_2%_10,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_22%_35,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_25%_40,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_28%_43,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_3%_10,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_33%_45,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_34%_48,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_36%_49,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_49%_55,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_52%_57,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_56%_60,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_6%_12,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_76%_65,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_82%_66,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_9%_14,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_91%_74,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_93%_75,1,1,0,0.00
2618666497925055832_2019/7/20 13:40:12_99%_85,1,1,0,0.00
2618666497925055832_2019/7/20 13:41:51_2%_6,1,1,0,0.00
2618666497925055832_2019/7/20 15:22:42_100%_10,1,1,0,0.00
2618666497925057149_2019/7/20 22:53:59_55%_16,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_1%_4,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_10%_7,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_15%_8,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_2%_5,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_22%_8,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_24%_11,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_26%_12,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_32%_13,1,1,0,0.00
2618666497925080178_2019/7/20 22:52:14_39%_18,1,1,0,0.00
