,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
,"总计","24944","24908","0","0",
1,"A_english_entrance+scroll+_2018/10/29 2:9:1_70%_60","1","1","0","0",
2,"A_english_entrance+scroll+_2018/10/23 0:6:11_14%_11","1","1","0","0",
3,"A_english_entrance+scroll+_2018/10/22 2:57:9_32%_45","1","1","0","0",
4,"A_english_entrance+scroll+_2018/10/24 0:2:35_79%_54","1","1","0","0",
5,"A_english_entrance+scroll+_2018/10/31 0:24:14_100%_5","1","1","0","0",
6,"A_english_entrance+scroll+_2018/10/30 0:7:49_2%_7","1","1","0","0",
7,"A_english_entrance+scroll+_2018/10/24 0:24:1_11%_5","1","1","0","0",
8,"A_english_entrance+scroll+_2018/10/31 0:38:14_2%_9","1","1","0","0",
9,"A_english_entrance+scroll+_2018/10/24 0:4:17_77%_80","1","1","0","0",
10,"A_english_entrance+scroll+_2018/10/31 0:12:20_101%_21","1","1","0","0",
11,"A_english_entrance+scroll+_2018/10/22 0:54:48_35%_18","1","1","0","0",
12,"A_english_entrance+scroll+_2018/10/31 0:9:23_3%_6","1","1","0","0",
13,"A_english_entrance+scroll+_2018/10/22 0:39:5_70%_27","1","1","0","0",
14,"A_english_entrance+scroll+_2018/10/30 0:19:9_16%_11","1","1","0","0",
15,"A_english_entrance+scroll+_2018/10/26 0:29:7_53%_11","1","1","0","0",
16,"A_english_entrance+scroll+_2018/10/26 0:27:29_45%_57","1","1","0","0",
17,"A_english_entrance+scroll+_2018/10/31 0:25:8_57%_16","1","1","0","0",
18,"A_english_entrance+scroll+_2018/10/23 0:10:35_69%_17","1","1","0","0",
19,"A_english_entrance+scroll+_2018/10/31 0:1:18_55%_36","1","1","0","0",
20,"A_english_entrance+scroll+_2018/10/31 0:30:39_27%_9","1","1","0","0",
21,"A_english_entrance+scroll+_2018/10/25 0:23:26_4%_10","1","1","0","0",
22,"A_english_entrance+scroll+_2018/10/28 1:5:36_23%_12","1","1","0","0",
23,"A_english_entrance+scroll+_2018/10/31 0:7:41_1%_3","1","1","0","0",
24,"A_english_entrance+scroll+_2018/10/22 0:33:9_7%_7","1","1","0","0",
25,"A_english_entrance+scroll+_2018/10/29 0:56:22_57%_38","1","1","0","0",
26,"A_english_entrance+scroll+_2018/10/22 0:33:56_14%_28","1","1","0","0",
27,"A_english_entrance+scroll+_2018/10/30 0:12:46_17%_193","1","1","0","0",
28,"A_english_entrance+scroll+_2018/10/25 0:23:19_5%_2","1","1","0","0",
29,"A_english_entrance+scroll+_2018/10/27 0:4:8_19%_6","1","1","0","0",
30,"A_english_entrance+scroll+_2018/10/29 0:8:40_39%_15","1","1","0","0",
31,"A_english_entrance+scroll+_2018/10/31 0:52:36_136%_40","1","1","0","0",
32,"A_english_entrance+scroll+_2018/10/24 0:3:25_16%_8","1","1","0","0",
33,"A_english_entrance+scroll+_2018/10/25 0:12:26_60%_30","1","1","0","0",
34,"A_english_entrance+scroll+_2018/10/31 0:11:7_46%_74","1","1","0","0",
35,"A_english_entrance+scroll+_2018/10/24 23:59:50_27%_37","1","1","0","0",
36,"A_english_entrance+scroll+_2018/10/23 0:0:3_74%_38","1","1","0","0",
37,"A_english_entrance+scroll+_2018/10/27 0:39:52_54%_25","1","1","0","0",
38,"A_english_entrance+scroll+_2018/10/31 0:40:41_56%_95","1","1","0","0",
39,"A_english_entrance+scroll+_2018/10/25 0:25:25_72%_85","1","1","0","0",
40,"A_english_entrance+scroll+_2018/10/25 0:17:59_11%_11","1","1","0","0",
41,"A_english_entrance+scroll+_2018/10/22 0:2:27_16%_8","1","1","0","0",
42,"A_english_entrance+scroll+_2018/10/25 0:14:23_7%_19","1","1","0","0",
43,"A_english_entrance+scroll+_2018/10/29 1:20:21_100%_170","1","1","0","0",
44,"A_english_entrance+scroll+_2018/10/31 0:37:28_100%_64","1","1","0","0",
45,"A_english_entrance+scroll+_2018/10/22 0:32:59_55%_57","1","1","0","0",
46,"A_english_entrance+scroll+_2018/10/30 0:22:30_23%_40","1","1","0","0",
47,"A_english_entrance+scroll+_2018/10/28 0:20:57_35%_57","1","1","0","0",
48,"A_english_entrance+scroll+_2018/10/27 0:2:26_72%_19","1","1","0","0",
49,"A_english_entrance+scroll+_2018/10/29 0:22:46_25%_18","1","1","0","0",
50,"A_english_entrance+scroll+_2018/10/23 0:1:23_14%_10","1","1","0","0",
51,"A_english_entrance+scroll+_2018/10/30 0:11:50_31%_67","1","1","0","0",
52,"A_english_entrance+scroll+_2018/10/28 3:30:48_63%_70","1","1","0","0",
53,"A_english_entrance+scroll+_2018/10/27 0:20:50_7%_8","1","1","0","0",
54,"A_english_entrance+scroll+_2018/10/30 0:31:12_82%_144","1","1","0","0",
55,"A_english_entrance+scroll+_2018/10/24 0:4:17_70%_76","1","1","0","0",
56,"A_english_entrance+scroll+_2018/10/30 0:4:28_64%_79","1","1","0","0",
57,"A_english_entrance+scroll+_2018/10/25 0:29:22_2%_13","1","1","0","0",
58,"ENGLISH+UID：2619735130111276199+http:/english/user/watering-e-14185-Request failed with status code 400","1","1","0","0",
