,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
,"总计","24944","24908","0","0",
1,"A_english_entrance+scroll+_2018/10/31 0:24:13_40%_47","1","1","0","0",
2,"A_english_entrance+scroll+_2018/10/25 0:54:57_5%_5","1","1","0","0",
3,"A_english_entrance+scroll+_2018/10/24 0:24:42_44%_81","1","1","0","0",
4,"A_english_entrance+scroll+_2018/10/22 0:57:3_52%_41","1","1","0","0",
5,"A_english_entrance+scroll+_2018/10/28 3:4:27_11%_9","1","1","0","0",
6,"A_english_entrance+scroll+_2018/10/30 0:14:1_6%_7","1","1","0","0",
7,"A_english_entrance+scroll+_2018/10/29 0:23:26_31%_46","1","1","0","0",
8,"A_english_entrance+scroll+_2018/10/21 12:5:32_57%_28","1","1","0","0",
9,"A_english_entrance+scroll+_2018/10/28 0:5:35_14%_3","1","1","0","0",
10,"A_english_entrance+scroll+_2018/10/31 0:3:16_43%_90","1","1","0","0",
11,"A_english_entrance+scroll+_2018/10/28 1:6:39_6%_33","1","1","0","0",
12,"A_english_entrance+scroll+_2018/10/28 1:9:3_4%_10","1","1","0","0",
13,"A_english_entrance+scroll+_2018/10/22 0:47:30_85%_33","1","1","0","0",
14,"A_english_entrance+scroll+_2018/10/24 0:1:40_88%_31","1","1","0","0",
15,"A_english_entrance+scroll+_2018/10/28 0:29:23_74%_123","1","1","0","0",
16,"A_english_entrance+scroll+_2018/10/27 0:43:24_84%_41","1","1","0","0",
17,"A_english_entrance+scroll+_2018/10/24 0:14:33_2%_4","1","1","0","0",
18,"A_english_entrance+scroll+_2018/10/29 0:4:2_43%_70","1","1","0","0",
19,"A_english_entrance+scroll+_2018/10/29 0:55:13_6%_5","1","1","0","0",
20,"A_english_entrance+scroll+_2018/10/26 0:7:17_5886%_33","1","1","0","0",
21,"A_english_entrance+scroll+_2018/10/25 0:5:52_17%_36","1","1","0","0",
22,"A_english_entrance+scroll+_2018/10/28 0:47:30_45%_48","1","1","0","0",
23,"A_english_entrance+scroll+_2018/10/22 0:28:57_6%_7","1","1","0","0",
24,"A_english_entrance+scroll+_2018/10/26 0:9:13_36%_19","1","1","0","0",
25,"A_english_entrance+scroll+_2018/10/23 0:9:52_15%_29","1","1","0","0",
26,"A_english_entrance+scroll+_2018/10/26 0:13:41_83%_33","1","1","0","0",
27,"A_english_entrance+scroll+_2018/10/22 1:28:50_7%_7","1","1","0","0",
28,"ENGLISH+UID：2619580092297670311+http:/english/user/watering-e-4235-Request failed with status code 400","1","1","0","0",
29,"A_english_entrance+scroll+_2018/10/26 0:2:3_54%_102","1","1","0","0",
30,"A_english_entrance+scroll+_2018/10/26 23:59:55_97%_66","1","1","0","0",
31,"A_english_entrance+scroll+_2018/10/22 1:28:50_80%_186","1","1","0","0",
32,"A_english_entrance+scroll+_2018/10/22 0:21:42_73%_70","1","1","0","0",
